2021-03-24 09:15:09.440 [main] INFO  com.cn.mistletoe.MistletoeApp - Starting MistletoeApp on Jxy-O834IQKJDUP with PID 11452 (D:\JavaProject\xingyu\springboot\mistletoe_back_2.0\target\classes started by Administrator in D:\JavaProject\xingyu\springboot\mistletoe_back_2.0)
2021-03-24 09:15:09.444 [main] INFO  com.cn.mistletoe.MistletoeApp - No active profile set, falling back to default profiles: default
2021-03-24 09:15:10.677 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-24 09:15:10.682 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2021-03-24 09:15:10.709 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Elasticsearch repository interfaces.
2021-03-24 09:15:10.717 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-24 09:15:10.718 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2021-03-24 09:15:10.723 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5ms. Found 0 Reactive Elasticsearch repository interfaces.
2021-03-24 09:15:10.735 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-24 09:15:10.736 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-03-24 09:15:10.752 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2021-03-24 09:15:11.234 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@98b788' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-24 09:15:11.238 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-24 09:15:11.254 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.cn.mistletoe.config.RedisConfig$$EnhancerBySpringCGLIB$$b4622fea] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-24 09:15:11.569 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2021-03-24 09:15:11.585 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2021-03-24 09:15:11.585 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-24 09:15:11.586 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-03-24 09:15:11.729 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-24 09:15:11.732 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2221 ms
2021-03-24 09:15:11.923 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-24 09:15:12.112 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-24 09:15:14.051 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@10c23a3, org.springframework.security.web.context.SecurityContextPersistenceFilter@240290, org.springframework.security.web.header.HeaderWriterFilter@1ec5a0b, org.springframework.web.filter.CorsFilter@6fdaa, org.springframework.security.web.authentication.logout.LogoutFilter@e186f3, com.cn.mistletoe.config.JwtAuthenticationTokenFilter@a517c3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@15311cb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@165af91, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@18280df, org.springframework.security.web.session.SessionManagementFilter@9baba8, org.springframework.security.web.access.ExceptionTranslationFilter@cc65f0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@f13494]
2021-03-24 09:15:14.083 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-03-24 09:15:14.292 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-24 09:15:14.910 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.6.RELEASE
2021-03-24 09:15:14.910 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2021-03-24 09:15:14.910 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
2021-03-24 09:15:14.910 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch cluster: 7.5.2
2021-03-24 09:15:15.116 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2021-03-24 09:15:15.207 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2021-03-24 09:15:15.220 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2021-03-24 09:15:15.221 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-03-24 09:15:15.252 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-03-24 09:15:15.282 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-03-24 09:15:15.457 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: registerUsingPOST_1
2021-03-24 09:15:15.507 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: findAllUsingGET_1
2021-03-24 09:15:15.546 [main] INFO  com.cn.mistletoe.MistletoeApp - Started MistletoeApp in 6.67 seconds (JVM running for 8.487)
2021-03-24 10:00:40.066 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2021-03-24 10:00:40.069 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-03-24 10:00:40.207 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-03-24 10:00:40.212 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-03-24 10:00:47.557 [main] INFO  com.cn.mistletoe.MistletoeApp - Starting MistletoeApp on Jxy-O834IQKJDUP with PID 13932 (D:\JavaProject\xingyu\springboot\mistletoe_back_2.0\target\classes started by Administrator in D:\JavaProject\xingyu\springboot\mistletoe_back_2.0)
2021-03-24 10:00:47.563 [main] INFO  com.cn.mistletoe.MistletoeApp - No active profile set, falling back to default profiles: default
2021-03-24 10:00:48.605 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-24 10:00:48.636 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2021-03-24 10:00:48.732 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 89ms. Found 1 Elasticsearch repository interfaces.
2021-03-24 10:00:48.736 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-24 10:00:48.736 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2021-03-24 10:00:48.745 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 Reactive Elasticsearch repository interfaces.
2021-03-24 10:00:48.758 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-24 10:00:48.758 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-03-24 10:00:48.777 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.cn.mistletoe.esrepository.LoginRecodesRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2021-03-24 10:00:48.777 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
2021-03-24 10:00:49.221 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@1e8c7db' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-24 10:00:49.225 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-24 10:00:49.236 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.cn.mistletoe.config.RedisConfig$$EnhancerBySpringCGLIB$$e001db72] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-24 10:00:49.524 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2021-03-24 10:00:49.533 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2021-03-24 10:00:49.534 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-24 10:00:49.534 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-03-24 10:00:49.671 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-24 10:00:49.671 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2037 ms
2021-03-24 10:00:49.840 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-24 10:00:50.030 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-24 10:00:51.766 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.6.RELEASE
2021-03-24 10:00:51.766 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2021-03-24 10:00:51.766 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
2021-03-24 10:00:51.766 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch cluster: 7.5.2
2021-03-24 10:00:52.829 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@13a529f, org.springframework.security.web.context.SecurityContextPersistenceFilter@1c7abf6, org.springframework.security.web.header.HeaderWriterFilter@1218586, org.springframework.web.filter.CorsFilter@1d92289, org.springframework.security.web.authentication.logout.LogoutFilter@17274e7, com.cn.mistletoe.config.JwtAuthenticationTokenFilter@703860, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6c93f8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@17d3f54, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e8b59e, org.springframework.security.web.session.SessionManagementFilter@de8b07, org.springframework.security.web.access.ExceptionTranslationFilter@2c9e24, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1d84df1]
2021-03-24 10:00:52.848 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-03-24 10:00:52.996 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-24 10:00:53.349 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2021-03-24 10:00:53.451 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2021-03-24 10:00:53.463 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2021-03-24 10:00:53.464 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-03-24 10:00:53.476 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-03-24 10:00:53.507 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-03-24 10:00:53.711 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: registerUsingPOST_1
2021-03-24 10:00:53.747 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: findAllUsingGET_1
2021-03-24 10:00:53.785 [main] INFO  com.cn.mistletoe.MistletoeApp - Started MistletoeApp in 6.712 seconds (JVM running for 7.767)
2021-03-24 10:05:58.895 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-24 10:05:58.896 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-24 10:05:58.904 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2021-03-24 10:12:43.124 [main] INFO  com.cn.mistletoe.MistletoeApp - Starting MistletoeApp on Jxy-O834IQKJDUP with PID 1896 (D:\JavaProject\xingyu\springboot\mistletoe_back_2.0\target\classes started by Administrator in D:\JavaProject\xingyu\springboot\mistletoe_back_2.0)
2021-03-24 10:12:43.130 [main] INFO  com.cn.mistletoe.MistletoeApp - No active profile set, falling back to default profiles: default
2021-03-24 10:12:44.108 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-24 10:12:44.110 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2021-03-24 10:12:44.189 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 74ms. Found 1 Elasticsearch repository interfaces.
2021-03-24 10:12:44.193 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-24 10:12:44.193 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
